"","Milk..0403.","HPLC.A","HPLC.B","LACT01.1A","LACT01.1B","LACT01.2A","LACT01.2B"
"1","Verical Low 1",5.9166,5.94774,5.94,5.95,6.16,6.12
"2","Verical Low 2",6.43956,6.50208,6.49,6.49,6.72,6.74
"3","Verical Low 3",5.44368,5.52616,5.5,5.49,5.62,5.61
"4","Verical Low 4",4.74488,4.8174,4.83,4.82,4.98,4.97
"5","Verical Low 5",5.36127,5.45424,5.46,5.45,5.59,5.61
"6","Verical 1",4.28259,4.26205,4.56,4.56,4.39,4.37
"7","Verical 2",4.59516,4.626,4.79,4.78,4.63,4.62
"8","Verical 3",4.72986,4.64778,4.9,4.92,4.76,4.79
"9","Verical 4",5.0264,5.1191,5.28,5.29,5.17,5.16
"10","Verical 5",5.53152,5.49024,5.62,5.63,5.5,5.49
